RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,tenure_months,date_opened
857,15693864,IHEANACHO,567.0,Germany,female,49,5,134956.02,1,1.0,0,93953.84,1,60,10/01/2020
306,15636673,Onwuatuegwu,667.0,France,Male,31,1,119266.69,1,1.0,1,28257.63,0,12,2024/10/01
243,15813844,Barnes,703.0,France,Male,999,8,105961.68,2,0.0,1,74158.8,0,96,10/01/2017
858,15760550,Duncan,741.0,SPAIN,Male,39,7,,2,0.0,1,"$174,227.66",0,84,02 Oct 2018
883,15785519,May,565.0,France,Male,36,6,106192.1,1,1.0,0,149575.59,0,72,2019/10/02
738,15766741,McIntyre,,France,male,36,2,114628.4,1,0.0,1,168290.06,0,24,02 Oct 2023
898,15782390,T'ien,621.0,FRANCE,Female,40,6,0.0,1,1.0,0,"$155,155.25",0,72,02-10-2019
978,15582616,Y?an,520.0,France,female,38,4,0.0,2,1.0,0,56388.63,0,48,2021-10-01
221,15725311,Hay,726.0,France,Female,31,9,114722.05,2,1.0,1,98178.57,0,108,01 Oct 2016
65,15592461,Jackson,603.0,Germany,Male,26,4,109166.37,1,1.0,1,92840.67,0,48,01 Oct 2021
571,15728505,Ts'ao,601.0,France,M,44,1,100486.18,2,1.0,1,62678.53,0,12,01 Oct 2024
309,15773972,Balashov,614.0,France,Male,50,4,137104.47,1,1.0,0,127166.49,1,48,2021/10/01
468,15593782,Brookes,816.0,Germany,Female,38,5,130878.75,3,1.0,0,71905.77,1,60,01 Oct 2020
724,15571973,chinwemma,776.0,France,F,38,2,169824.46,1,1.0,0,169291.7,0,24,02-10-2023
109,15602312,Walkom,605.0,Spain,Male,33,5,"$150,092.80",1,0.0,0,"$71,862.79",0,60,2020/10/01
412,15760431,Pino,,France,Male,38,1,,2,1.0,1,80006.65,0,12,2024-10-01
652,15813850,Christian,720.0,France,Male,52,7,0.0,1,1.0,1,14781.12,0,84,10/02/2018
668,15575024,Uwaezuoke,503.0,France,Male,29,3,0.0,2,1.0,1,143954.99,0,36,2022-10-02
552,15657284,  Day  ,674.0,Germany,Male,47,6,106901.94,1,1.0,1,"$2,079.20",1,72,2019-10-02
882,15571928,Fraser,679.0,France,F,43,4,0.0,3,1.0,0,115136.51,1,48,2021/10/01
951,15630328,Bird,635.0,France,Female,48,8,130796.33,2,1.0,1,43250.3,0,96,01 Oct 2017
566,15811773,Hsia,543.0,France,Male,36,4,0.0,2,1.0,1,141210.5,0,48,01-10-2021
154,15689044,Humphries,539.0,France,Male,37,2,127609.59,1,1.0,0,98646.22,0,24,02 Oct 2023
141,15698932,Groves,756.0,Germany,Male,44,10,137452.09,1,1.0,0,189543.9,0,120,02 Oct 2015
436,15581197,Ricci,762.0,France,Female,51,3,99286.98,1,0.0,1,85578.63,0,36,10/02/2022
368,15594720,Scott,460.0,Germany,Female,35,8,102742.91,2,1.0,1,189339.6,0,96,2017-10-01
925,15658485,Heath,1000.0,France, Female,34,9,,1,1.0,1,68600.36,0,108,01 Oct 2016
706,15580148,Welch,750.0,GERMANY,Male,40,5,168286.81,3,1.0,0,20451.99,1,60,01-10-2020
656,15692926,Toscani,498.0,Germany,Male,25,8,"$121,702.73",1,1.0,1,132210.49,0,96,01-10-2017
111,15803526,Eremenko,685.0,Germany,Male,30,3,90536.81,1,0.0,1,63082.88,0,36,10/02/2022
27,15736816,Young,756.0,Germany,Male,36,2,136815.64,1,1.0,1,,0,24,02-10-2023
58,15647091,Endrizzi,725.0,Germany,Male,19,0,75888.2,1,0.0,0,"$45,613.75",0,0,01 Oct 2025
47,15602280,Martin,829.0,Germany,Female,27,9,112045.67,1,1.0,1,119708.21,1,108,01 Oct 2016
320,15626114,Pearson,,France,Male,24,4,95741.75,1,1.0,0,"$46,170.75",0,48,01-10-2021
994,15782899,Ginn,661.0,Spain, Female,28,7,95357.49,1,0.0,0,,0,84,02-10-2018
752,15634245,Muecke,758.0,Germany,Female,47,9,95523.16,1,,0,73294.48,0,108,01 Oct 2016
99,15604348,Allard,710.0,Spain,Male,22,8,0.0,2,0.0,0,99645.04,0,96,2017/10/01
397,15584766,Knight,557.0,France,Male,33,3,54503.55,1,1.0,1,371.05,0,36,2022/10/02
139,15594408,Chia,584.0,Spain, Female,48,2,"$213,146.20",1,1.0,0,75161.25,1,24,2023/10/02
505,15715527,Freeman,543.0,Spain,Female,41,4,0.0,1,0.0,0,194902.16,0,48,10/01/2021
694,15740900,Perrodin,589.0,France,Male,34,6,0.0,2,1.0,1,177896.92,0,72,02-10-2019
335,15742668,Day,626.0,Spain,Female,37,6,108269.37,1,1.0,0,5597.94,0,72,10/02/2019
887,15591711,Sleeman,739.0,Spain, Male,38,0,128366.44,1,1.0,0,12796.43,0,0,01-10-2025
44,15755196,Lavine,834.0,France,Female,49,2,131394.56,1,0.0,0,"$194,365.76",1,24,02-10-2023
878,15800228,Bednall,652.0,  Spain  ,female,42,4,0.0,2,1.0,1,38152.01,0,48,01 Oct 2021
64,15751208,Pirozzi,684.0,Spain,Male,56,8,78707.16,1,1.0,1,99398.36,0,96,2017/10/01
795,15776807,Brennan,654.0,France,Male,29,1,0.0,1,1.0,0,180345.44,0,12,01-10-2024
930,15590876,Knupp,764.0,  France  ,Female,0,7,106234.02,1,0.0,0,115676.38,0,84,02 Oct 2018
39,15717426,Armstrong,850.0,France,Male,36,7,0.0,1,1.0,1,40812.9,0,84,02 Oct 2018
912,15746490,Wollstonecraft,648.0,Spain,Female,53,6,111201.41,1,1.0,1,121542.29,0,72,10/02/2019
849,15646558,Clamp,611.0,Spain,Male,51,1,122874.74,1,1.0,1,149648.45,0,12,2024/10/01
504,15730059,udobata,638.0,SPAIN,Male,44,9,77637.35,2,1.0,1,111346.22,0,108,01 Oct 2016
937,15613630,Tang,775.0,France,M,52,8,109922.61,1,1.0,1,96823.32,1,96,2017-10-01
337,15740476,  Tsao  ,659.0,Germany,Female,32,3,150923.74,2,0.0,1,"$174,652.51",0,36,2022-10-02
563,15665678,Tan,607.0,Spain,Male,36,8,,1,1.0,1,"$76,744.72",0,96,01 Oct 2017
916,15775625,McKenzie,596.0,France, Male,47,6,0.0,1,1.0,0,74835.65,0,72,2019-10-02
720,15653780,Kambinachi,621.0,France, Female,43,5,0.0,1,1.0,1,47578.45,0,60,2020-10-01
206,15773039,Ku,550.0,France,Male,37,3,0.0,1,1.0,1,179670.31,0,36,02-10-2022
973,15605918,Padovesi,635.0,Germany,Male,43,5,78992.75,2,0.0,0,153265.31,0,60,10/01/2020
866,15686983,ROHU,678.0,Germany,Female,25,10,76968.12,2,0.0,1,131501.72,0,120,02-10-2015
583,15576352,Revell,586.0,Spain,Female,57,3,0.0,2,0.0,1,6057.81,0,36,2022-10-02
187,15771977,T'ao,730.0,France,Female,39,1,99010.67,1,1.0,0,194945.8,0,12,2024/10/01
559,15717046,Wentworth-Shields,741.0,spain,Male,53,3,0.0,2,1.0,1,38913.68,0,36,2022/10/02
229,15637753,O'Sullivan,751.0,Germany,Male,50,2,"$96,888.39",1,1.0,0,77206.25,1,24,02-10-2023
902,15709737,Hunter,643.0,  France  ,Male,36,7,161064.64,2,0.0,1,84294.82,0,84,2018/10/02
542,15626578,Milne,622.0,France,Male,26,9,0.0,2,1.0,1,153237.59,0,108,2016/10/01
62,15773469,Clark,687.0,GERMANY,Female,27,9,152328.88,2,0.0,0,126494.82,0,108,2016-10-01
595,15603925,Greco,779.0,,Female,26,4,174318.13,2,0.0,1,38296.21,0,48,2021/10/01
506,15576623,Outlaw,584.0,France,Male,31,5,0.0,2,1.0,0,,0,60,01-10-2020
645,15698786,Marcelo,819.0,France,Female,39,9,133102.92,1,1.0,0,"$27,046.46",1,108,2016/10/01
591,15788291,Okwuadigbo,713.0,Germany,Female,38,7,144606.22,1,1.0,1,56594.36,1,84,10/02/2018
565,15788126,Evans,689.0,Spain,Female,38,6,121021.05,1,1.0,1,,0,72,02-10-2019
790,15653253,Pagnotto,704.0,Spain,Male,48,8,167997.6,1,1.0,1,173498.45,0,96,2017/10/01
418,15695632,Dellucci,556.0,France,Female,39,9,89588.35,1,1.0,1,"$94,898.10",0,108,10/01/2016
898,15782390,T'ien,621.0,FRANCE,Female,40,6,0.0,1,1.0,0,"$155,155.25",0,72,02-10-2019
171,15587562,Hawkins,484.0,France, Female,29,4,"$130,114.39",1,1.0,0,164017.89,0,48,10/01/2021
447,15730460,Oleary,722.0,France,Male,999,2,0.0,1,0.0,0,120906.83,0,24,02 Oct 2023
398,15612187,Morin,547.0,Germany,Male,32,8,155726.85,1,1.0,0,"$67,789.99",0,96,01 Oct 2017
541,15667896,De Luca,833.0,France,Male,37,8,151226.18,2,1.0,1,136129.49,0,96,10/01/2017
110,15744689,T'ang,479.0,Germany,Male,35,9,92833.89,1,1.0,0,99449.86,1,108,01-10-2016
317,15662736,Doyle,559.0,France,M,49,2,147069.78,1,1.0,0,120540.83,1,24,10/02/2023
254,15694717,ku,544.0,Germany,Male,37,2,79731.91,1,1.0,1,57558.95,0,24,2023-10-02
1002,15796505,BOYLE,0.0,Germany, Female,34,1,149297.19,2,1.0,1,186339.74,0,12,01 Oct 2024
516,15746902,Belstead,-50.0,Spain,Male,38,9,0.0,2,1.0,0,88225.02,0,108,2016-10-01
205,15627801,  Ginikanwa  ,512.0,SPAIN,Male,33,3,176666.62,1,1.0,0,94670.77,0,36,2022/10/02
149,15703264,chukwufumnanya,735.0,France,Male,44,9,120681.63,1,,0,74836.34,0,108,01 Oct 2016
424,15622834,Stevenson,678.0,France,Female,35,4,0.0,1,,0,125518.32,0,48,01 Oct 2021
1001,15604482,CHIEMEZIE,850.0,Spain,Male,30,2,141040.01,1,1.0,1,5978.2,0,24,02 Oct 2023
300,15811490,FRENCH,627.0,france,Male,33,5,0.0,2,1.0,1,103737.82,0,60,01 Oct 2020
784,15745196,Verco,571.0,France,Female,35,8,0.0,2,0.0,0,84569.13,0,96,01 Oct 2017
946,15709295,Wall,697.0,Spain, Female,25,5,82931.85,2,1.0,1,"$128,373.88",0,60,2020/10/01
917,15792328,James,475.0,FRANCE,Male,39,6,0.0,1,1.0,1,56999.9,1,72,02-10-2019
319,15677512,McEncroe,628.0,Spain,Female,150,3,0.0,1,1.0,0,85426.28,0,36,02 Oct 2022
129,15575492,Kennedy,828.0,France,Female,41,7,0.0,2,1.0,0,171378.77,0,84,02-10-2018
1007,15576352,REVELL,586.0,Spain,Female,57,3,0.0,2,0.0,1,6057.81,0,36,2022-10-02
599,15637476,Alexandrova,683.0,Germany,Female,57,5,162448.69,1,0.0,0,9221.78,1,60,01-10-2020
592,15604044,  Mitchell  ,700.0,France,Male,38,8,134811.3,1,1.0,0,1299.75,0,96,01-10-2017
446,15803406,Ross,748.0,France,Female,26,1,77780.29,1,0.0,1,183049.41,0,12,10/01/2024
876,15653762,Chidiebele,501.0,France,Female,39,9,117301.66,1,0.0,0,182025.95,0,108,2016/10/01
322,15678910,  Ts'ai  ,680.0,n/a,female,30,8,141441.75,1,1.0,1,16278.97,0,96,2017-10-01
409,15701376,K'ung,668.0,Germany,Male,37,10,152958.29,2,1.0,1,159585.61,0,120,02-10-2015
238,15764866,Synnot,539.0,Germany,Female,43,3,116220.5,3,1.0,0,55803.96,1,36,02-10-2022
493,15624170,  Tan  ,639.0,France,female,38,4,81550.94,2,0.0,1,118974.77,0,48,2021/10/01
667,15725511,Wallace,559.0,,F,31,3,127070.73,1,0.0,1,160941.78,0,36,02-10-2022
554,15709324,Bruce,417.0,France,Male,34,7,0.0,2,1.0,0,55003.79,0,84,10/02/2018
751,15790314,Onuoha,649.0,N/A,Male,41,0,0.0,2,0.0,1,130567.02,0,0,10/01/2025
479,15677538,Nwokike,569.0,France,Male,38,7,0.0,1,1.0,1,108469.2,0,84,02-10-2018
488,15613772,Dalrymple,542.0,France,Male,39,3,"$135,096.77",1,1.0,1,14353.43,1,36,02 Oct 2022
135,15712543,Chinweike,789.0,Germany,Male,39,7,124828.46,2,1.0,1,124411.08,0,84,02-10-2018
331,15598493,Beach,656.0,FRANCE,Male,50,7,0.0,2,0.0,1,72143.44,0,84,2018/10/02
16,15643966,Goforth,616.0,Germany,Male,45,3,143129.41,2,0.0,1,64327.26,0,36,10/02/2022
800,15567367,Tao,601.0,Germany,Female,42,9,133636.16,1,0.0,1,103315.74,0,108,2016-10-01
160,15804017,Chigolum,631.0,  Germany  ,Female,33,4,123246.7,1,0.0,0,112687.57,0,48,2021/10/01
494,15725679,Hsia,531.0,France,Female,47,6,0.0,1,0.0,0,194998.34,1,72,10/02/2019
245,15576269,Madison,523.0,Spain,Male,34,7,0.0,2,1.0,0,62030.06,0,84,2018-10-02
732,15790757,Cody,769.0,  France  , Female,25,10,0.0,2,0.0,0,187925.75,0,120,02 Oct 2015
49,15766205,Yin,550.0,Germany,Male,38,2,103391.38,1,0.0,1,90878.13,0,24,10/02/2023
260,15607178,Welch,850.0,germany,Male,38,3,54901.01,1,1.0,1,140075.55,0,36,02 Oct 2022
75,15770811,Wallace,519.0,France,Male,36,9,0.0,2,0.0,1,145562.4,0,108,01 Oct 2016
173,15651022,Yost,480.0,Germany,male,44,10,,1,1.0,0,5472.7,1,120,02 Oct 2015
692,15688251,Mamelu,767.0,France,Male,43,1,76408.85,2,1.0,0,77837.63,0,12,2024-10-01
466,15726032,Enyinnaya,608.0,France,male,33,9,89968.69,1,1.0,0,"$68,777.26",0,108,10/01/2016
519,15775912,Mazzanti,698.0,France,Male,48,4,101238.24,2,0.0,1,177815.87,1,48,01 Oct 2021
271,15787071,Dulhunty,650.0,Spain,Male,41,9,0.0,2,0.0,1,191599.67,0,108,2016-10-01
926,15636731,Ts'ai,714.0,Germany,F,36,1,101609.01,2,1.0,1,447.73,0,12,10/01/2024
959,15619529,Ndukaku,531.0,Spain,Male,27,8,132576.25,1,0.0,0,7222.92,0,96,2017/10/01
627,15626900,Kung,,France,Male,29,1,141325.56,1,1.0,1,93839.3,0,12,01-10-2024
363,15706365,Bianchi,648.0,France,Female,50,9,"$102,535.57",1,1.0,1,189543.19,0,108,2016-10-01
511,15568506,Forbes,524.0,Germany,Female,31,10,67238.98,2,1.0,1,161811.23,0,120,10/02/2015
793,15707473,Summers,850.0,Germany,Female,48,6,111962.99,1,1.0,0,111755.8,0,72,10/02/2019
55,15569590,Yoo,601.0,germany,Male,42,1,98495.72,1,1.0,0,40014.76,1,12,01 Oct 2024
658,15698474,Sagese,601.0,Germany,Female,54,1,131039.97,2,1.0,1,199661.5,0,12,01-10-2024
98,15693683,Yuille,814.0,N/A,Male,29,8,97086.4,2,1.0,1,197276.13,0,96,01 Oct 2017
776,15752137,McElroy,648.0,France,Male,33,7,134944.0,1,1.0,1,117036.38,0,84,2018/10/02
458,15634632,Titus,711.0,France,Male,38,3,0.0,2,1.0,0,68487.51,0,36,10/02/2022
515,15682048,Pisano,605.0,France,Female,51,3,136188.78,1,1.0,1,67110.59,1,36,02 Oct 2022
819,15591969,Kuo,497.0,Spain,Male,999,9,"$75,263.16",1,1.0,1,164825.04,0,108,2016-10-01
128,15782688,Piccio,625.0,Germany,Male,56,0,148507.24,1,1.0,0,46824.08,1,0,10/01/2025
423,15674551,Fitch,535.0,Germany,Male,40,7,111756.5,1,1.0,0,8128.32,1,84,02 Oct 2018
432,15743040,Kuznetsova,724.0,Germany,Male,41,2,127892.57,2,0.0,1,199645.45,0,24,2023/10/02
508,15677307,Lo,684.0,Germany,Female,999,6,137326.65,1,1.0,0,186976.6,0,72,10/02/2019
569,15795564,Moretti,737.0,Germany,Male,31,5,121192.22,2,1.0,1,74890.58,0,60,2020/10/01
826,15660602,Ch'eng,464.0,Germany,Male,33,8,164284.72,2,1.0,1,3710.34,0,96,01-10-2017
385,15689294,Onyemaechi,705.0,Germany,Male,44,3,105934.96,1,1.0,0,82463.69,0,36,02 Oct 2022
390,15717225,Ikemefuna,544.0,,Female,21,10,161525.96,2,1.0,0,9262.77,0,120,02 Oct 2015
81,15706021,Buley,665.0,  France  ,Female,34,1,96645.54,2,0.0,0,171413.66,0,12,10/01/2024
159,15589975,Maclean,646.0,France,Female,73,6,"$97,259.25",1,0.0,1,104719.66,0,72,2019-10-02
653,15711889,Mao,668.0,  France  ,Male,42,-1,150461.07,1,1.0,0,108139.23,0,36,10/02/2022
965,15580956,McNess,683.0,Germany,Female,43,4,"$115,888.04",1,1.0,1,,1,48,2021-10-01
263,15686776,Rossi,557.0,France,Female,-1,6,184686.41,2,1.0,0,14956.44,0,72,02-10-2019
744,15641675,Kirillova,611.0,France,Female,49,2,88915.37,3,0.0,0,161435.02,1,24,02-10-2023
894,15772781,Ball,703.0,  France  ,Female,51,3,0.0,3,1.0,1,77294.56,1,36,02 Oct 2022
678,15715142,Repina,739.0,Germany,Male,45,7,102703.62,1,0.0,1,147802.94,1,84,10/02/2018
472,15683625,Hare,703.0,,Male,37,1,149762.08,1,1.0,0,"$20,629.40",1,12,10/01/2024
815,15641655,Black,700.0,France,Female,26,2,0.0,2,0.0,0,50051.42,0,24,02 Oct 2023
358,15661629,Ricci,522.0,Spain,Male,34,9,"$126,436.29",1,1.0,0,174248.52,1,108,01 Oct 2016
741,15637414,Gell,,France,Female,24,7,128736.39,1,0.0,1,37147.61,0,84,02 Oct 2018
703,15603436,Savage,594.0,Spain,F,49,2,126615.94,2,0.0,1,123214.74,0,24,10/02/2023
278,15767339,Chiazagomekpere,777.0,France,Female,53,10,0.0,2,1.0,0,189992.97,0,120,10/02/2015
362,15696674,Robinson,643.0,Germany,Female,45,2,,1,0.0,1,2319.96,1,24,2023/10/02
548,15720187,HAN,479.0,Germany,Female,30,7,"$143,964.36",2,1.0,0,41879.99,0,84,02-10-2018
670,15662397,Small,640.0,France,F,42,5,176099.13,1,1.0,1,8404.73,0,60,2020-10-01
180,15625426,  Ashbolt  ,754.0,Germany,Female,55,3,161608.81,1,1.0,0,8080.85,1,36,2022/10/02
780,15769974,Shih,679.0,Spain,Female,35,8,119182.73,1,0.0,0,121210.09,0,96,01-10-2017
956,15571002,Yusupov,706.0,France,Female,44,4,129605.99,1,0.0,0,69865.49,0,48,01 Oct 2021
600,15714939,Fallaci,484.0,Germany,Female,34,4,148249.54,1,0.0,1,33738.27,0,48,01-10-2021
123,15690673,Cameron,656.0,FRANCE,Female,39,6,0.0,2,1.0,0,,0,72,2019/10/02
855,15601589,Baresi,675.0,France,Female,57,8,0.0,2,0.0,1,95463.29,0,96,2017-10-01
